iter	Passed	Remaining
401	13852	20607
402	13890	20577
403	13929	20548
404	13964	20516
405	13998	20481
406	14034	20448
407	14070	20415
408	14103	20379
409	14136	20342
410	14168	20304
411	14199	20265
412	14231	20227
413	14267	20195
414	14300	20158
415	14337	20127
416	14372	20094
417	14408	20060
418	14445	20030
419	14480	19997
420	14518	19967
421	14555	19936
422	14597	19911
423	14636	19883
424	14673	19852
425	14707	19817
426	14744	19786
427	14782	19755
428	14818	19723
429	14854	19691
430	14891	19659
431	14926	19625
432	14962	19592
433	15000	19562
434	15040	19534
435	15076	19503
436	15112	19469
437	15147	19435
438	15186	19406
439	15218	19369
440	15250	19331
441	15284	19296
442	15318	19260
443	15352	19225
444	15388	19192
445	15424	19159
446	15458	19124
447	15493	19090
448	15527	19054
449	15560	19017
450	15594	18983
451	15626	18945
452	15661	18911
453	15693	18873
454	15727	18837
455	15761	18802
456	15794	18766
457	15829	18733
458	15864	18698
459	15897	18661
460	15933	18629
461	15966	18593
462	15999	18557
463	16031	18519
464	16063	18481
465	16097	18447
466	16129	18409
467	16163	18374
468	16197	18338
469	16232	18305
470	16268	18271
471	16300	18234
472	16333	18197
473	16369	18164
474	16402	18128
475	16436	18093
476	16467	18055
477	16503	18022
478	16536	17986
479	16568	17949
480	16603	17915
481	16635	17878
482	16667	17841
483	16699	17803
484	16733	17768
485	16767	17733
486	16804	17701
487	16836	17664
488	16869	17628
489	16903	17593
490	16937	17558
491	16970	17522
492	17006	17489
493	17042	17456
494	17076	17421
495	17111	17387
496	17144	17351
497	17178	17316
498	17211	17280
499	17246	17246
500	17277	17208
501	17313	17175
502	17351	17144
503	17387	17111
504	17430	17085
505	17463	17049
506	17499	17016
507	17531	16979
508	17565	16943
509	17597	16907
510	17629	16870
511	17663	16835
512	17697	16800
513	17731	16765
514	17764	16729
515	17801	16697
516	17838	16665
517	17877	16634
518	17912	16601
519	17951	16570
520	17985	16536
521	18020	16501
522	18056	16468
523	18094	16436
524	18131	16404
525	18166	16370
526	18207	16341
527	18245	16310
528	18283	16278
529	18318	16244
530	18353	16210
531	18388	16175
532	18424	16142
533	18459	16108
534	18493	16073
535	18523	16035
536	18558	16000
537	18591	15965
538	18625	15930
539	18658	15894
540	18691	15858
541	18724	15822
542	18755	15785
543	18785	15746
544	18815	15708
545	18847	15671
546	18878	15634
547	18910	15598
548	18940	15559
549	18973	15523
550	19004	15486
551	19035	15449
552	19066	15412
553	19100	15376
554	19130	15338
555	19163	15303
556	19197	15268
557	19227	15230
558	19260	15194
559	19290	15156
560	19321	15119
561	19355	15085
562	19389	15050
563	19427	15018
564	19460	14982
565	19494	14947
566	19527	14912
567	19558	14875
568	19593	14841
569	19624	14804
570	19653	14765
571	19684	14728
572	19715	14691
573	19746	14655
574	19778	14619
575	19819	14589
576	19853	14554
577	19890	14522
578	19928	14490
579	19962	14455
580	20004	14426
581	20042	14394
582	20077	14360
583	20111	14325
584	20146	14292
585	20183	14259
586	20225	14230
587	20262	14197
588	20296	14163
589	20333	14129
590	20372	14098
591	20407	14064
592	20446	14033
593	20485	14001
594	20522	13969
595	20559	13936
596	20594	13901
597	20632	13870
598	20669	13837
599	20705	13803
600	20741	13770
601	20782	13739
602	20822	13709
603	20862	13678
604	20902	13647
605	20938	13613
606	20974	13579
607	21010	13546
608	21048	13513
609	21081	13478
610	21116	13444
611	21155	13412
612	21194	13380
613	21235	13350
614	21276	13319
615	21316	13288
616	21354	13255
617	21392	13223
618	21431	13191
619	21471	13159
620	21515	13130
621	21552	13097
622	21593	13067
623	21629	13033
624	21666	12999
625	21708	12969
626	21748	12937
627	21787	12906
628	21825	12873
629	21869	12843
630	21909	12812
631	21947	12779
632	21987	12747
633	22027	12716
634	22066	12683
635	22103	12650
636	22140	12616
637	22176	12582
638	22213	12549
639	22250	12515
640	22287	12482
641	22323	12448
642	22361	12415
643	22395	12379
644	22431	12345
645	22467	12311
646	22504	12278
647	22541	12244
648	22579	12211
649	22615	12177
650	22650	12143
651	22693	12112
652	22730	12079
653	22767	12045
654	22803	12010
655	22839	11976
656	22875	11942
657	22911	11908
658	22946	11873
659	22981	11839
660	23017	11804
661	23051	11769
662	23090	11736
663	23124	11701
664	23160	11667
665	23197	11633
666	23233	11599
667	23266	11563
668	23301	11528
669	23335	11493
670	23369	11458
671	23407	11425
672	23442	11390
673	23480	11356
674	23519	11324
675	23558	11291
676	23595	11257
677	23630	11222
678	23668	11189
679	23708	11156
680	23744	11122
681	23778	11087
682	23813	11052
683	23850	11018
684	23883	10983
685	23923	10950
686	23959	10915
687	23994	10881
688	24030	10846
689	24066	10812
690	24104	10778
691	24143	10745
692	24177	10710
693	24212	10675
694	24249	10641
695	24284	10607
696	24323	10573
697	24357	10538
698	24392	10503
699	24428	10469
700	24466	10435
701	24510	10404
702	24548	10371
703	24585	10336
704	24622	10302
705	24657	10268
706	24691	10232
707	24733	10200
708	24769	10166
709	24807	10132
710	24842	10097
711	24877	10062
712	24912	10027
713	24949	9993
714	24983	9958
715	25024	9925
716	25062	9892
717	25103	9859
718	25146	9827
719	25186	9794
720	25227	9762
721	25268	9729
722	25309	9696
723	25348	9663
724	25391	9631
725	25435	9599
726	25476	9566
727	25515	9533
728	25557	9500
729	25594	9466
730	25630	9431
731	25667	9397
732	25704	9362
733	25741	9328
734	25780	9294
735	25816	9260
736	25850	9224
737	25885	9189
738	25919	9154
739	25954	9119
740	25991	9084
741	26023	9048
742	26056	9012
743	26090	8977
744	26123	8941
745	26155	8905
746	26188	8869
747	26222	8834
748	26256	8798
749	26290	8763
750	26321	8727
751	26362	8693
752	26395	8658
753	26428	8622
754	26461	8586
755	26494	8551
756	26530	8516
757	26563	8480
758	26596	8445
759	26629	8409
760	26660	8372
761	26694	8337
762	26726	8301
763	26758	8265
764	26792	8230
765	26828	8195
766	26862	8160
767	26894	8124
768	26929	8089
769	26963	8054
770	27001	8019
771	27035	7984
772	27068	7948
773	27100	7912
774	27133	7877
775	27168	7842
776	27203	7807
777	27236	7771
778	27270	7736
779	27303	7701
780	27335	7665
781	27366	7629
782	27400	7593
783	27434	7558
784	27467	7523
785	27501	7487
786	27535	7452
787	27569	7417
788	27602	7381
789	27636	7346
790	27670	7311
791	27705	7276
792	27735	7239
793	27764	7203
794	27794	7167
795	27824	7130
796	27857	7095
797	27890	7059
798	27925	7025
799	27959	6989
800	27996	6955
801	28036	6921
802	28074	6887
803	28111	6853
804	28147	6818
805	28182	6783
806	28215	6748
807	28247	6712
808	28280	6676
809	28314	6641
810	28347	6606
811	28383	6571
812	28416	6536
813	28449	6500
814	28484	6465
815	28522	6431
816	28557	6396
817	28593	6361
818	28629	6327
819	28668	6293
820	28704	6258
821	28742	6224
822	28784	6190
823	28824	6156
824	28863	6122
825	28901	6088
826	28933	6052
827	28964	6016
828	29002	5982
829	29034	5946
830	29067	5911
831	29106	5877
832	29145	5843
833	29187	5809
834	29223	5774
835	29258	5739
836	29297	5705
837	29332	5670
838	29366	5635
839	29402	5600
840	29435	5565
841	29469	5529
842	29504	5494
843	29536	5459
844	29571	5424
845	29607	5389
846	29639	5354
847	29674	5319
848	29710	5284
849	29745	5249
850	29779	5214
851	29811	5178
852	29843	5143
853	29876	5107
854	29909	5072
855	29942	5037
856	29974	5001
857	30010	4966
858	30044	4931
859	30078	4896
860	30113	4861
861	30146	4826
862	30178	4790
863	30211	4755
864	30245	4720
865	30279	4685
866	30310	4649
867	30346	4614
868	30382	4580
869	30416	4544
870	30450	4509
871	30486	4475
872	30521	4440
873	30556	4405
874	30591	4370
875	30623	4334
876	30656	4299
877	30689	4264
878	30723	4229
879	30755	4193
880	30792	4159
881	30825	4124
882	30857	4088
883	30891	4053
884	30924	4018
885	30957	3983
886	30991	3948
887	31025	3913
888	31057	3877
889	31090	3842
890	31124	3807
891	31157	3772
892	31189	3737
893	31228	3702
894	31265	3668
895	31300	3633
896	31335	3598
897	31368	3563
898	31402	3527
899	31436	3492
900	31470	3457
901	31507	3423
902	31550	3389
903	31587	3354
904	31627	3320
905	31664	3285
906	31697	3250
907	31731	3215
908	31765	3180
909	31800	3145
910	31833	3109
911	31865	3074
912	31899	3039
913	31929	3004
914	31961	2969
915	31998	2934
916	32036	2899
917	32073	2864
918	32111	2830
919	32145	2795
920	32183	2760
921	32222	2725
922	32256	2690
923	32293	2656
924	32330	2621
925	32366	2586
926	32403	2551
927	32443	2517
928	32478	2482
929	32512	2447
930	32550	2412
931	32587	2377
932	32622	2342
933	32656	2307
934	32696	2273
935	32733	2238
936	32771	2203
937	32806	2168
938	32843	2133
939	32877	2098
940	32910	2063
941	32942	2028
942	32977	1993
943	33012	1958
944	33043	1923
945	33076	1888
946	33110	1853
947	33142	1817
948	33175	1782
949	33208	1747
950	33243	1712
951	33276	1677
952	33310	1642
953	33344	1607
954	33378	1572
955	33409	1537
956	33444	1502
957	33478	1467
958	33514	1432
959	33547	1397
960	33581	1362
961	33616	1327
962	33652	1292
963	33685	1257
964	33717	1222
965	33752	1187
966	33788	1153
967	33822	1118
968	33854	1083
969	33887	1048
970	33922	1013
971	33956	978
972	33988	943
973	34023	908
974	34057	873
975	34089	838
976	34121	803
977	34156	768
978	34190	733
979	34222	698
980	34255	663
981	34290	628
982	34324	593
983	34358	558
984	34391	523
985	34425	488
986	34461	453
987	34493	418
988	34528	384
989	34562	349
990	34597	314
991	34628	279
992	34661	244
993	34696	209
994	34729	174
995	34761	139
996	34794	104
997	34827	69
998	34862	34
999	34894	0
