iter	RMSE
256	66996.61216
257	66961.15048
258	66936.95503
259	66905.24146
260	66869.24704
261	66833.45652
262	66800.61593
263	66772.66643
264	66740.24346
265	66707.06439
266	66674.73817
267	66643.55794
268	66615.7269
269	66590.12096
270	66561.69201
271	66536.48609
272	66498.8232
273	66458.44828
274	66423.07561
275	66388.1703
276	66354.24771
277	66320.12789
278	66280.91916
279	66261.77057
280	66237.15494
281	66198.51837
282	66179.60887
283	66153.41099
284	66125.74579
285	66079.25944
286	66046.31538
287	66020.84318
288	65991.59244
289	65958.82863
290	65920.8823
291	65896.27331
292	65866.13689
293	65838.66957
294	65807.36793
295	65788.99804
296	65763.15822
297	65741.01466
298	65696.84239
299	65671.99337
300	65630.73233
301	65600.79034
302	65584.06738
303	65555.11916
304	65512.38216
305	65483.94476
306	65450.96128
307	65421.0717
308	65398.86737
309	65374.22611
310	65348.7771
311	65312.19309
312	65278.75947
313	65246.41934
314	65209.2183
315	65183.81008
316	65154.38185
317	65122.02438
318	65082.0814
319	65067.15367
320	65032.34793
321	65009.09231
322	64972.85718
323	64950.85429
324	64930.45063
325	64908.06751
326	64882.88563
327	64853.95503
328	64828.64101
329	64795.03594
330	64762.17967
331	64725.16522
332	64702.50462
333	64681.08274
334	64656.10317
335	64631.79622
336	64607.84941
337	64592.50636
338	64562.16103
339	64522.4861
340	64489.11097
341	64464.55843
342	64450.34461
343	64416.18697
344	64390.18138
345	64362.3738
346	64346.66454
347	64325.57948
348	64308.46262
349	64287.77252
350	64265.89238
351	64236.90058
352	64218.52896
353	64192.39441
354	64163.96911
355	64138.56533
356	64118.67686
357	64088.64617
358	64059.19419
359	64037.98153
360	64015.80097
361	63997.59537
362	63975.27756
363	63946.96606
364	63920.23437
365	63894.06056
366	63873.99993
367	63848.92083
368	63833.74
369	63809.48743
370	63777.32893
371	63746.86917
372	63727.04967
373	63706.13723
374	63679.95848
375	63657.55709
376	63626.82
377	63601.6817
378	63574.46896
379	63554.3743
380	63531.01396
381	63508.82161
382	63493.75658
383	63460.26154
384	63445.20382
385	63425.09915
386	63398.40675
387	63379.64836
388	63349.09524
389	63327.18458
390	63309.77531
391	63290.51323
392	63265.69732
393	63236.3851
394	63217.65517
395	63189.45305
396	63161.86687
397	63127.21701
398	63110.48867
399	63091.13458
400	63071.03365
401	63051.96248
402	63020.80736
403	62996.98575
404	62967.52274
405	62943.51944
406	62921.95994
407	62893.17801
408	62868.09584
409	62844.8923
410	62815.60079
411	62802.84892
412	62775.21208
413	62752.39917
414	62734.00829
415	62718.70261
416	62697.18764
417	62675.1056
418	62651.94124
419	62630.98354
420	62609.99895
421	62590.589
422	62568.85202
423	62551.24912
424	62530.48696
425	62509.45184
426	62482.41725
427	62458.6672
428	62434.30382
429	62414.08517
430	62392.95582
431	62373.53631
432	62359.71748
433	62339.43598
434	62309.90623
435	62286.49708
436	62276.62588
437	62262.54428
438	62238.37935
439	62215.44587
440	62196.28249
441	62175.04646
442	62160.81926
443	62134.8903
444	62111.08452
445	62095.44081
446	62078.28003
447	62060.78803
448	62039.74189
449	62020.4823
450	62003.58695
451	61986.82442
452	61969.12639
453	61949.43864
454	61926.1308
455	61900.77569
456	61881.09908
457	61863.65283
458	61842.05117
459	61825.26814
460	61809.28775
461	61796.17112
462	61770.7792
463	61755.01305
464	61737.83764
465	61722.27396
466	61702.46726
467	61676.15577
468	61662.27792
469	61649.20226
470	61627.02953
471	61608.29034
472	61585.08002
473	61574.04129
474	61550.55789
475	61533.41652
476	61505.66353
477	61483.14538
478	61464.61234
479	61444.21519
480	61424.22986
481	61405.7314
482	61388.74739
483	61368.08052
484	61343.95615
485	61323.67748
486	61309.18211
487	61295.08005
488	61269.40616
489	61256.571
490	61239.48558
491	61217.31533
492	61197.71287
493	61174.67715
494	61153.66045
495	61133.65144
496	61112.93164
497	61099.6355
498	61077.71861
499	61058.10738
500	61036.88086
501	61021.64286
502	61000.88725
503	60982.70582
504	60956.13292
505	60942.53357
506	60926.46472
507	60914.89182
508	60892.65815
509	60877.01962
510	60860.75527
511	60841.9122
512	60827.47069
513	60805.54754
514	60779.45094
515	60758.5866
516	60735.3807
517	60717.14715
518	60700.2903
519	60675.02379
520	60658.68605
521	60646.05472
522	60632.24013
523	60620.4545
524	60602.06376
525	60591.63544
526	60571.72095
527	60553.1465
528	60531.39553
529	60511.49244
530	60491.49432
531	60474.68872
532	60453.06184
533	60430.87558
534	60418.46299
535	60397.85671
536	60384.05863
537	60371.78065
538	60353.66873
539	60330.02675
540	60312.5433
541	60289.57238
542	60266.53227
543	60250.26192
544	60232.14944
545	60214.89759
546	60200.38577
547	60182.53039
548	60164.62358
549	60144.90061
550	60128.89265
551	60117.82306
552	60104.39226
553	60089.00531
554	60074.57439
555	60054.95541
556	60038.56579
557	60025.44889
558	59999.99945
559	59985.34761
560	59971.40511
561	59949.69578
562	59933.61636
563	59922.12752
564	59904.08915
565	59884.75055
566	59864.81491
567	59841.07432
568	59827.70659
569	59805.04262
570	59788.9749
571	59775.22878
572	59761.72637
573	59747.02435
574	59734.91604
575	59722.76655
576	59709.83034
577	59689.69744
578	59675.63338
579	59658.53823
580	59640.64449
581	59623.05415
582	59601.02614
583	59586.57621
584	59572.1822
585	59553.09323
586	59526.29335
587	59509.65107
588	59491.81403
589	59473.8402
590	59459.26166
591	59439.77785
592	59421.78938
593	59411.68742
594	59400.09298
595	59383.36411
596	59365.65745
597	59347.70625
598	59333.74572
599	59315.87551
600	59299.95246
601	59283.68026
602	59264.20643
603	59254.19761
604	59238.61072
605	59215.40459
606	59202.49757
607	59189.42913
608	59173.83302
609	59159.53601
610	59143.48277
611	59120.82313
612	59101.13413
613	59085.33661
614	59060.09642
615	59044.13184
616	59029.29937
617	59016.63827
618	59005.46488
619	58992.15143
620	58976.40232
621	58962.87564
622	58942.24702
623	58920.36221
624	58907.70308
625	58895.5598
626	58883.35367
627	58866.83577
628	58849.37905
629	58841.00897
630	58825.58099
631	58812.80034
632	58796.83388
633	58780.47009
634	58769.98816
635	58756.5981
636	58736.38345
637	58718.80648
638	58705.33775
639	58687.42998
640	58676.11227
641	58661.32439
642	58642.57802
643	58637.103
644	58621.97872
645	58612.52787
646	58598.79675
647	58580.16616
648	58560.56961
649	58544.32662
650	58528.83882
651	58513.42786
652	58494.06036
653	58477.09879
654	58461.00907
655	58446.44088
656	58438.33242
657	58418.11193
658	58403.63559
659	58391.21704
660	58372.60184
661	58357.45714
662	58339.15003
663	58330.46252
664	58320.34427
665	58302.1372
666	58292.49379
667	58279.60432
668	58268.04662
669	58257.52021
670	58248.14481
671	58232.71158
672	58216.73195
673	58200.89093
674	58184.23871
675	58168.35476
676	58150.00178
677	58137.25156
678	58121.47473
679	58110.11561
680	58092.56751
681	58080.60214
682	58064.47907
683	58056.67548
684	58050.79529
685	58039.02399
686	58021.07952
687	58008.41665
688	57993.21003
689	57979.05315
690	57958.32881
691	57934.86281
692	57924.66796
693	57911.853
694	57902.12168
695	57885.30687
696	57870.97304
697	57851.25232
698	57836.96363
699	57819.13283
700	57800.9025
701	57793.02226
702	57779.92337
703	57759.08402
704	57745.3684
705	57733.83083
706	57728.7671
707	57715.40238
708	57705.52009
709	57686.63551
710	57675.65371
711	57658.66374
712	57645.85492
713	57629.33586
714	57618.35485
715	57602.11522
716	57585.73019
717	57566.53531
718	57557.74693
719	57541.47042
720	57529.08402
721	57514.41782
722	57491.59858
723	57476.03078
724	57461.97831
725	57448.42875
726	57438.83657
727	57416.74965
728	57397.8959
729	57388.84739
730	57372.18747
731	57364.67642
732	57343.62534
733	57330.18746
734	57316.50835
735	57306.71922
736	57286.59623
737	57270.45008
738	57254.54545
739	57234.97874
740	57221.84958
741	57212.94889
742	57201.39799
743	57187.08457
744	57175.2802
745	57164.4678
746	57153.94936
747	57142.4673
748	57131.43723
749	57118.49316
750	57102.37321
751	57094.3944
752	57078.0517
753	57068.61558
754	57062.1179
755	57053.50174
756	57035.84833
757	57023.10257
758	57006.58127
759	56986.46851
760	56981.51956
761	56973.98046
762	56962.23711
763	56952.62342
764	56939.53663
765	56926.55601
766	56910.68705
767	56897.35915
768	56881.85245
769	56869.50302
770	56854.42768
771	56837.75999
772	56827.50025
773	56809.72289
774	56799.47501
775	56788.36258
776	56772.87545
777	56762.10642
778	56748.51868
779	56735.14744
780	56718.70538
781	56712.70817
782	56702.65671
783	56687.23439
784	56671.54412
785	56660.80691
786	56647.10271
787	56629.64288
788	56619.86843
789	56605.03579
790	56596.28071
791	56578.78725
792	56567.27519
793	56563.02158
794	56556.17841
795	56544.61959
796	56539.18807
797	56524.25246
798	56510.64577
799	56491.81357
800	56479.74916
801	56464.23048
802	56450.54675
803	56435.19535
804	56423.2641
805	56409.2409
806	56401.24044
807	56386.74605
808	56378.74014
809	56366.0275
810	56347.92569
811	56338.77151
812	56325.17701
813	56316.76457
814	56300.29085
815	56285.34305
816	56278.4873
817	56267.29303
818	56251.77305
819	56241.36795
820	56229.858
821	56215.47341
822	56200.20851
823	56187.61663
824	56171.94551
825	56156.8436
826	56141.29122
827	56131.90123
828	56118.48264
829	56107.80621
830	56103.93752
831	56089.28197
832	56076.3231
833	56068.29222
834	56056.4716
835	56042.19523
836	56030.55473
837	56022.00057
838	56013.76262
839	55998.86011
840	55986.0154
841	55968.48101
842	55948.53806
843	55938.61876
844	55918.3566
845	55907.92009
846	55893.82455
847	55876.85973
848	55862.46573
849	55845.54729
850	55834.13928
851	55821.09516
852	55811.9173
853	55795.33296
854	55786.05084
855	55773.82575
856	55761.05678
857	55749.07638
858	55735.53738
859	55721.2924
860	55708.18849
861	55695.53922
862	55688.00084
863	55674.69664
864	55662.8201
865	55655.21587
866	55648.40203
867	55637.72881
868	55626.57279
869	55615.41464
870	55597.69858
871	55588.80505
872	55577.15282
873	55564.23613
874	55557.3272
875	55542.65512
876	55524.34611
877	55508.04098
878	55496.53064
879	55485.85286
880	55473.93387
881	55463.36575
882	55454.29715
883	55440.04495
884	55427.02959
885	55416.757
886	55406.07272
887	55393.68022
888	55381.69397
889	55370.97768
890	55360.12082
891	55347.32463
892	55333.69578
893	55319.62203
894	55306.72332
895	55298.26432
896	55287.18574
897	55276.69092
898	55264.75992
899	55255.71409
900	55241.89873
901	55231.13303
902	55216.73935
903	55203.0638
904	55194.36628
905	55183.60319
906	55172.6016
907	55161.64709
908	55151.54794
909	55141.07313
910	55128.06932
911	55115.64995
912	55104.37561
913	55100.61758
914	55092.22284
915	55079.23666
916	55062.13535
917	55056.62577
918	55044.43324
919	55035.38328
920	55021.87281
921	55009.70411
922	55004.80237
923	54994.31375
924	54988.59725
925	54980.41811
926	54971.04548
927	54961.78782
928	54952.45268
929	54945.93269
930	54939.85876
931	54931.93852
932	54922.76657
933	54910.28892
934	54899.05552
935	54888.15444
936	54877.6672
937	54865.00366
938	54859.15588
939	54847.89931
940	54839.79339
941	54831.23495
942	54816.96902
943	54802.80314
944	54798.60433
945	54783.1781
946	54773.98093
947	54763.57629
948	54748.66663
949	54737.04287
950	54727.52633
951	54718.60778
952	54705.75129
953	54695.5978
954	54685.66469
955	54671.91963
956	54657.48107
957	54643.28464
958	54629.99265
959	54621.1891
960	54607.90079
961	54597.72406
962	54587.53934
963	54575.49345
964	54564.93824
965	54552.8182
966	54536.75571
967	54527.76666
968	54518.14379
969	54510.15557
970	54500.05032
971	54486.54325
972	54478.6518
973	54468.10154
974	54458.63468
975	54452.58683
976	54440.4409
977	54432.35264
978	54422.59202
979	54417.96325
980	54407.52791
981	54395.97748
982	54384.04632
983	54373.7012
984	54363.02276
985	54355.24114
986	54340.55324
987	54329.09419
988	54318.87818
989	54308.56708
990	54297.17736
991	54291.79841
992	54280.78624
993	54268.72228
994	54258.4377
995	54248.98404
996	54238.51488
997	54226.53649
998	54212.49039
999	54202.37884
