feature,importance
loanacc_rur_amt_cm_avg_inc_v2,0.0012045237110562756
incomeValueCategory,0.0011548592897259455
bki_total_oth_cnt,0.001123263651184485
vert_pil_fee_discount_change_3m,0.0011068316698743088
hdb_ovrd_sum,0.0010530746244697628
hdb_bki_total_pil_max_del90,0.0010006727754457232
loanacc_rur_amt_curr_v2,0.0009899610939972665
client_active_flag,0.0009166932429119819
tz_msk_timedelta,0.000886303462289455
bki_total_auto_cnt,0.0008154452798808261
hdb_bki_total_micro_cnt,0.0007889813148296525
accountsalary_out_flag,0.000702998393054996
bki_active_auto_cnt,0.0006972527816343758
blacklist_flag,0.000684168112475981
acard,0.0006733942032609543
avg_fdep_cr_turn,0.0005715659193013597
vert_has_app_ru_tinkoff_investing,0.000566737306444128
vert_has_app_ru_cian_main,0.0005233365981605883
express_rur_amt_cm_avg,0.0005169318672222592
vert_pil_last_credit_step_screen_view_3m,0.0005022041915317253
cred_dda_rur_amt_3m_avg,0.0004939558839990523
pil,0.0004907367258354153
avg_fdep_db_turn,0.0004260093090848509
vert_pil_loan_application_success_3m,0.000279409039367416
businessTelSubs,0.0002790100496088743
vert_has_app_ru_raiffeisennews,0.0002708283495837946
vert_pil_sms_success_3m,0.00013523979192631548
vert_ghost_close_dpay3_last_days,0.0001312484250917693
ovrd_sum,5.475608274904918e-05
vert_has_app_ru_vtb_invest,0.0
nonresident_flag,0.0
