Model,MAE,WMAE,RMSE,R²,MAPE,Income_Groups
XGBoost,38871.583344722596,77803.80510985431,79019.65745660792,0.5340032817370024,52.99149110049767,"{'до 50,000': {'mae': 26751.293310003133, 'count': np.int64(5390), 'percentage': np.float64(35.095715587967184)}, 'до 100,000': {'mae': 20621.700307022977, 'count': np.int64(5971), 'percentage': np.float64(38.878760255241566)}, 'до 200,000': {'mae': 44413.82613084762, 'count': np.int64(2763), 'percentage': np.float64(17.99062377913791)}, 'до 500,000': {'mae': 120998.64896452655, 'count': np.int64(1004), 'percentage': np.float64(6.5373095455137396)}, 'свыше 500,000': {'mae': 371609.07988774724, 'count': np.int64(230), 'percentage': np.float64(1.4975908321396014)}}"
LightGBM,39105.31185373953,78394.18768574626,79176.57756896304,0.5321506575634977,53.33804950803176,"{'до 50,000': {'mae': 26931.81548722037, 'count': np.int64(5390), 'percentage': np.float64(35.095715587967184)}, 'до 100,000': {'mae': 20624.982498886577, 'count': np.int64(5971), 'percentage': np.float64(38.878760255241566)}, 'до 200,000': {'mae': 44757.2492206075, 'count': np.int64(2763), 'percentage': np.float64(17.99062377913791)}, 'до 500,000': {'mae': 120940.40267680444, 'count': np.int64(1004), 'percentage': np.float64(6.5373095455137396)}, 'свыше 500,000': {'mae': 379029.0416900521, 'count': np.int64(230), 'percentage': np.float64(1.4975908321396014)}}"
CatBoost,39518.00898878926,79402.08714157378,79662.53320219897,0.5263900718801136,54.505662395099165,"{'до 50,000': {'mae': 27968.397697030636, 'count': np.int64(5390), 'percentage': np.float64(35.095715587967184)}, 'до 100,000': {'mae': 20262.77086918268, 'count': np.int64(5971), 'percentage': np.float64(38.878760255241566)}, 'до 200,000': {'mae': 45117.74454689702, 'count': np.int64(2763), 'percentage': np.float64(17.99062377913791)}, 'до 500,000': {'mae': 123686.31605730351, 'count': np.int64(1004), 'percentage': np.float64(6.5373095455137396)}, 'свыше 500,000': {'mae': 375380.5395579624, 'count': np.int64(230), 'percentage': np.float64(1.4975908321396014)}}"
Random Forest,42233.564581170926,85618.94922242229,83449.46400116674,0.4802916723845767,59.084480156826004,"{'до 50,000': {'mae': 31138.687608989116, 'count': np.int64(5390), 'percentage': np.float64(35.095715587967184)}, 'до 100,000': {'mae': 20113.879030242162, 'count': np.int64(5971), 'percentage': np.float64(38.878760255241566)}, 'до 200,000': {'mae': 48610.917869375895, 'count': np.int64(2763), 'percentage': np.float64(17.99062377913791)}, 'до 500,000': {'mae': 134174.18253298695, 'count': np.int64(1004), 'percentage': np.float64(6.5373095455137396)}, 'свыше 500,000': {'mae': 398533.65912778856, 'count': np.int64(230), 'percentage': np.float64(1.4975908321396014)}}"
